protein1,protein2,score,disease
TAB1,MAPKAPK3,0.435,Varicella-Zoster Virus Hepatitis
TAB1,TP53,0.435,Varicella-Zoster Virus Hepatitis
TAB1,JUN,0.482,Varicella-Zoster Virus Hepatitis
TAB1,MAPKAPK2,0.528,Varicella-Zoster Virus Hepatitis
TAB1,MAP2K6,0.95,Varicella-Zoster Virus Hepatitis
TAB1,MAP2K3,0.978,Varicella-Zoster Virus Hepatitis
TAB1,MAPK14,0.999,Varicella-Zoster Virus Hepatitis
MAPK14,JUN,0.992,Varicella-Zoster Virus Hepatitis
MAPK14,TP53,0.994,Varicella-Zoster Virus Hepatitis
MAPK14,MAPKAPK3,0.996,Varicella-Zoster Virus Hepatitis
MAPK14,MAP2K6,0.997,Varicella-Zoster Virus Hepatitis
MAPK14,DUSP1,0.998,Varicella-Zoster Virus Hepatitis
MAPK14,ATF2,0.998,Varicella-Zoster Virus Hepatitis
MAPK14,MAP2K3,0.999,Varicella-Zoster Virus Hepatitis
MAPK14,MAPKAPK2,0.999,Varicella-Zoster Virus Hepatitis
DUSP1,MAP2K6,0.425,Varicella-Zoster Virus Hepatitis
DUSP1,MAPKAPK2,0.442,Varicella-Zoster Virus Hepatitis
DUSP1,MAP2K3,0.538,Varicella-Zoster Virus Hepatitis
DUSP1,ATF2,0.739,Varicella-Zoster Virus Hepatitis
ATF2,MAPKAPK2,0.447,Varicella-Zoster Virus Hepatitis
ATF2,MAP2K6,0.463,Varicella-Zoster Virus Hepatitis
ATF2,MAP2K3,0.531,Varicella-Zoster Virus Hepatitis
ATF2,TP53,0.805,Varicella-Zoster Virus Hepatitis
ATF2,JUN,0.999,Varicella-Zoster Virus Hepatitis
TP53,MAP2K6,0.418,Varicella-Zoster Virus Hepatitis
TP53,MAPKAPK2,0.44,Varicella-Zoster Virus Hepatitis
TP53,MAP2K3,0.711,Varicella-Zoster Virus Hepatitis
MAP2K3,MAPKAPK2,0.691,Varicella-Zoster Virus Hepatitis
MAP2K3,MAPKAPK3,0.762,Varicella-Zoster Virus Hepatitis
MAP2K3,JUN,0.786,Varicella-Zoster Virus Hepatitis
MAP2K3,MAP2K6,0.989,Varicella-Zoster Virus Hepatitis
MAPKAPK2,JUN,0.533,Varicella-Zoster Virus Hepatitis
MAPKAPK2,MAP2K6,0.95,Varicella-Zoster Virus Hepatitis
MAPKAPK2,MAPKAPK3,0.974,Varicella-Zoster Virus Hepatitis
JUN,MAP2K6,0.578,Varicella-Zoster Virus Hepatitis
MAPKAPK3,MAP2K6,0.627,Varicella-Zoster Virus Hepatitis
UGT1A6,EPHX1,0.544,Epstein-Barr Virus Hepatitis
UGT1A6,GSTM1,0.606,Epstein-Barr Virus Hepatitis
UGT1A6,COMT,0.86,Epstein-Barr Virus Hepatitis
UGT1A6,CYP1A1,0.986,Epstein-Barr Virus Hepatitis
UGT1A6,UGT1A10,0.994,Epstein-Barr Virus Hepatitis
UGT1A6,CYP3A4,0.994,Epstein-Barr Virus Hepatitis
UGT1A6,UGT1A7,0.994,Epstein-Barr Virus Hepatitis
UGT1A6,UGT1A4,0.995,Epstein-Barr Virus Hepatitis
UGT1A6,UGT1A8,0.997,Epstein-Barr Virus Hepatitis
UGT1A6,UGT1A1,0.998,Epstein-Barr Virus Hepatitis
UGT1A1,EPHX1,0.446,Epstein-Barr Virus Hepatitis
UGT1A1,GSTM1,0.594,Epstein-Barr Virus Hepatitis
UGT1A1,COMT,0.85,Epstein-Barr Virus Hepatitis
UGT1A1,CYP1A1,0.985,Epstein-Barr Virus Hepatitis
UGT1A1,UGT1A7,0.994,Epstein-Barr Virus Hepatitis
UGT1A1,CYP3A4,0.994,Epstein-Barr Virus Hepatitis
UGT1A1,UGT1A4,0.994,Epstein-Barr Virus Hepatitis
UGT1A1,UGT1A10,0.995,Epstein-Barr Virus Hepatitis
UGT1A1,UGT1A8,0.996,Epstein-Barr Virus Hepatitis
GSTM1,COMT,0.523,Epstein-Barr Virus Hepatitis
GSTM1,UGT1A4,0.591,Epstein-Barr Virus Hepatitis
GSTM1,UGT1A8,0.593,Epstein-Barr Virus Hepatitis
GSTM1,UGT1A10,0.594,Epstein-Barr Virus Hepatitis
GSTM1,UGT1A7,0.596,Epstein-Barr Virus Hepatitis
GSTM1,CYP3A4,0.958,Epstein-Barr Virus Hepatitis
GSTM1,EPHX1,0.985,Epstein-Barr Virus Hepatitis
GSTM1,CYP1A1,0.991,Epstein-Barr Virus Hepatitis
UGT1A10,EPHX1,0.444,Epstein-Barr Virus Hepatitis
UGT1A10,COMT,0.859,Epstein-Barr Virus Hepatitis
UGT1A10,CYP1A1,0.985,Epstein-Barr Virus Hepatitis
UGT1A10,CYP3A4,0.992,Epstein-Barr Virus Hepatitis
UGT1A10,UGT1A7,0.994,Epstein-Barr Virus Hepatitis
UGT1A10,UGT1A4,0.994,Epstein-Barr Virus Hepatitis
UGT1A10,UGT1A8,0.995,Epstein-Barr Virus Hepatitis
COMT,CYP3A4,0.603,Epstein-Barr Virus Hepatitis
COMT,UGT1A7,0.858,Epstein-Barr Virus Hepatitis
COMT,UGT1A4,0.859,Epstein-Barr Virus Hepatitis
COMT,UGT1A8,0.859,Epstein-Barr Virus Hepatitis
COMT,CYP1A1,0.985,Epstein-Barr Virus Hepatitis
UGT1A4,EPHX1,0.457,Epstein-Barr Virus Hepatitis
UGT1A4,CYP1A1,0.985,Epstein-Barr Virus Hepatitis
UGT1A4,CYP3A4,0.992,Epstein-Barr Virus Hepatitis
UGT1A4,UGT1A8,0.994,Epstein-Barr Virus Hepatitis
UGT1A4,UGT1A7,0.994,Epstein-Barr Virus Hepatitis
UGT1A7,EPHX1,0.458,Epstein-Barr Virus Hepatitis
UGT1A7,CYP1A1,0.985,Epstein-Barr Virus Hepatitis
UGT1A7,CYP3A4,0.992,Epstein-Barr Virus Hepatitis
UGT1A7,UGT1A8,0.994,Epstein-Barr Virus Hepatitis
UGT1A8,EPHX1,0.644,Epstein-Barr Virus Hepatitis
UGT1A8,CYP1A1,0.985,Epstein-Barr Virus Hepatitis
UGT1A8,CYP3A4,0.992,Epstein-Barr Virus Hepatitis
CYP1A1,EPHX1,0.985,Epstein-Barr Virus Hepatitis
CYP1A1,CYP3A4,0.987,Epstein-Barr Virus Hepatitis
EPHX1,CYP3A4,0.956,Epstein-Barr Virus Hepatitis
MAPK1,ARRB2,0.985,HIV-Associated Liver Disease
MAPK1,ARRB1,0.989,HIV-Associated Liver Disease
MAPK1,FOS,0.992,HIV-Associated Liver Disease
MAPK1,MAPK3,0.994,HIV-Associated Liver Disease
DUSP1,FOS,0.961,HIV-Associated Liver Disease
DUSP1,MAPK3,0.996,HIV-Associated Liver Disease
MAP2K2,ARRB2,0.534,HIV-Associated Liver Disease
MAP2K2,ARRB1,0.548,HIV-Associated Liver Disease
MAP2K2,MAPK3,0.99,HIV-Associated Liver Disease
MAPK3,RPS6KA1,0.99,HIV-Associated Liver Disease
MAPK3,ARRB1,0.991,HIV-Associated Liver Disease
MAPK3,PTPN7,0.992,HIV-Associated Liver Disease
MAPK3,FOS,0.994,HIV-Associated Liver Disease
MAPK3,TP53,0.994,HIV-Associated Liver Disease
MAPK3,ARRB2,0.996,HIV-Associated Liver Disease
MAPK3,MAP2K1,0.999,HIV-Associated Liver Disease
TP53,ARRB1,0.527,HIV-Associated Liver Disease
TP53,FOS,0.952,HIV-Associated Liver Disease
MAP2K1,FOS,0.652,HIV-Associated Liver Disease
MAP2K1,ARRB1,0.875,HIV-Associated Liver Disease
MAP2K1,ARRB2,0.975,HIV-Associated Liver Disease
FOS,ARRB2,0.406,HIV-Associated Liver Disease
FOS,RPS6KA1,0.729,HIV-Associated Liver Disease
ARRB2,ARRB1,0.986,HIV-Associated Liver Disease
MAPK8IP1,NFATC3,0.406,Q Fever Hepatitis
MAPK8IP1,MAP2K4,0.517,Q Fever Hepatitis
MAPK8IP1,DUSP16,0.727,Q Fever Hepatitis
MAPK8IP1,JUN,0.992,Q Fever Hepatitis
MAPK8IP1,MAPK9,0.993,Q Fever Hepatitis
MAPK8IP1,MAPK8,0.999,Q Fever Hepatitis
MAPK8IP1,MAP2K7,0.999,Q Fever Hepatitis
JUND,TP53,0.477,Q Fever Hepatitis
JUND,ATF2,0.895,Q Fever Hepatitis
JUND,MAPK9,0.987,Q Fever Hepatitis
JUND,MAPK8,0.995,Q Fever Hepatitis
JUND,JUN,0.999,Q Fever Hepatitis
ATF2,MAP2K7,0.4,Q Fever Hepatitis
ATF2,MAP2K4,0.497,Q Fever Hepatitis
ATF2,MAPK9,0.972,Q Fever Hepatitis
ATF2,MAPK8,0.998,Q Fever Hepatitis
TP53,MAP2K4,0.575,Q Fever Hepatitis
TP53,MAPK9,0.982,Q Fever Hepatitis
TP53,MAPK8,0.997,Q Fever Hepatitis
DUSP16,JUN,0.539,Q Fever Hepatitis
DUSP16,MAP2K7,0.578,Q Fever Hepatitis
DUSP16,MAPK9,0.985,Q Fever Hepatitis
DUSP16,MAPK8,0.998,Q Fever Hepatitis
NFATC3,JUN,0.522,Q Fever Hepatitis
NFATC3,MAPK9,0.952,Q Fever Hepatitis
NFATC3,MAPK8,0.995,Q Fever Hepatitis
JUN,MAP2K7,0.915,Q Fever Hepatitis
JUN,MAP2K4,0.921,Q Fever Hepatitis
JUN,MAPK9,0.999,Q Fever Hepatitis
JUN,MAPK8,0.999,Q Fever Hepatitis
MAPK8,MAP2K7,0.996,Q Fever Hepatitis
MAPK8,MAP2K4,0.999,Q Fever Hepatitis
MAPK8,MAPK9,0.999,Q Fever Hepatitis
MAP2K7,MAP2K4,0.956,Q Fever Hepatitis
MAP2K7,MAPK9,0.976,Q Fever Hepatitis
MAPK9,MAP2K4,0.999,Q Fever Hepatitis
CEACAM1,BAG6,0.435,Syphilitic Hepatitis
CEACAM1,CD274,0.508,Syphilitic Hepatitis
CEACAM1,CADM1,0.621,Syphilitic Hepatitis
CEACAM1,HMGB1,0.68,Syphilitic Hepatitis
CEACAM1,LGALS9B,0.796,Syphilitic Hepatitis
CEACAM1,LGALS9C,0.8,Syphilitic Hepatitis
CEACAM1,LGALS9,0.817,Syphilitic Hepatitis
CEACAM1,HAVCR2,0.995,Syphilitic Hepatitis
CD80,HMGB1,0.533,Syphilitic Hepatitis
CD80,LGALS9B,0.584,Syphilitic Hepatitis
CD80,LGALS9C,0.592,Syphilitic Hepatitis
CD80,HAVCR2,0.972,Syphilitic Hepatitis
HAVCR2,BAG6,0.941,Syphilitic Hepatitis
HAVCR2,CD86,0.971,Syphilitic Hepatitis
HAVCR2,CADM1,0.988,Syphilitic Hepatitis
HAVCR2,HMGB1,0.991,Syphilitic Hepatitis
HAVCR2,LGALS9B,0.998,Syphilitic Hepatitis
HAVCR2,CD274,0.998,Syphilitic Hepatitis
HAVCR2,LGALS9C,0.998,Syphilitic Hepatitis
HAVCR2,LGALS9,0.999,Syphilitic Hepatitis
LGALS9B,BAG6,0.452,Syphilitic Hepatitis
LGALS9B,CADM1,0.57,Syphilitic Hepatitis
LGALS9B,CD86,0.578,Syphilitic Hepatitis
LGALS9B,HMGB1,0.658,Syphilitic Hepatitis
LGALS9B,LGALS9,0.764,Syphilitic Hepatitis
LGALS9B,CD274,0.875,Syphilitic Hepatitis
CADM1,LGALS9C,0.571,Syphilitic Hepatitis
CADM1,LGALS9,0.571,Syphilitic Hepatitis
LGALS9C,BAG6,0.455,Syphilitic Hepatitis
LGALS9C,CD86,0.583,Syphilitic Hepatitis
LGALS9C,HMGB1,0.657,Syphilitic Hepatitis
LGALS9C,LGALS9,0.78,Syphilitic Hepatitis
LGALS9C,CD274,0.875,Syphilitic Hepatitis
CD86,HMGB1,0.548,Syphilitic Hepatitis
HMGB1,LGALS9,0.507,Syphilitic Hepatitis
HMGB1,CD274,0.549,Syphilitic Hepatitis
BAG6,LGALS9,0.441,Syphilitic Hepatitis
CCL2,IL4,0.921,Autoimmune Hepatitis
CCL2,ACKR1,0.994,Autoimmune Hepatitis
CCL2,CXCR1,0.996,Autoimmune Hepatitis
CCL2,CXCR2,0.997,Autoimmune Hepatitis
CCL2,CXCR3,0.998,Autoimmune Hepatitis
CCL2,PF4,0.998,Autoimmune Hepatitis
CCL2,CXCL8,0.999,Autoimmune Hepatitis
CCL2,CCR2,0.999,Autoimmune Hepatitis
IL4,CXCR1,0.448,Autoimmune Hepatitis
IL4,PF4,0.459,Autoimmune Hepatitis
IL4,CCL8,0.509,Autoimmune Hepatitis
IL4,CXCR2,0.547,Autoimmune Hepatitis
IL4,CCR2,0.677,Autoimmune Hepatitis
IL4,CCR1,0.688,Autoimmune Hepatitis
IL4,CXCR3,0.785,Autoimmune Hepatitis
IL4,CXCL8,0.997,Autoimmune Hepatitis
CCR2,ACKR1,0.653,Autoimmune Hepatitis
CCR2,PF4,0.82,Autoimmune Hepatitis
CCR2,CXCR2,0.929,Autoimmune Hepatitis
CCR2,CXCR1,0.963,Autoimmune Hepatitis
CCR2,CXCR3,0.97,Autoimmune Hepatitis
CCR2,CCR1,0.992,Autoimmune Hepatitis
CCR2,CXCL8,0.998,Autoimmune Hepatitis
CCR2,CCL8,0.999,Autoimmune Hepatitis
CXCR1,ACKR1,0.714,Autoimmune Hepatitis
CXCR1,CCL8,0.799,Autoimmune Hepatitis
CXCR1,PF4,0.876,Autoimmune Hepatitis
CXCR1,CXCR3,0.943,Autoimmune Hepatitis
CXCR1,CCR1,0.945,Autoimmune Hepatitis
CXCR1,CXCL8,0.999,Autoimmune Hepatitis
CXCR1,CXCR2,0.999,Autoimmune Hepatitis
PF4,CCL8,0.607,Autoimmune Hepatitis
PF4,ACKR1,0.62,Autoimmune Hepatitis
PF4,CCR1,0.895,Autoimmune Hepatitis
PF4,CXCR2,0.939,Autoimmune Hepatitis
PF4,CXCL8,0.999,Autoimmune Hepatitis
PF4,CXCR3,0.999,Autoimmune Hepatitis
CCR1,ACKR1,0.615,Autoimmune Hepatitis
CCR1,CXCR2,0.866,Autoimmune Hepatitis
CCR1,CXCR3,0.966,Autoimmune Hepatitis
CCR1,CXCL8,0.997,Autoimmune Hepatitis
CXCL8,CXCR3,0.997,Autoimmune Hepatitis
CXCL8,CCL8,0.998,Autoimmune Hepatitis
CXCL8,CXCR2,0.999,Autoimmune Hepatitis
CXCL8,ACKR1,0.999,Autoimmune Hepatitis
CXCR2,ACKR1,0.516,Autoimmune Hepatitis
CXCR2,CXCR3,0.86,Autoimmune Hepatitis
CXCR2,CCL8,0.942,Autoimmune Hepatitis
ACKR1,CCL8,0.542,Autoimmune Hepatitis
CXCR3,CCL8,0.955,Autoimmune Hepatitis
IL2,IL13RA1,0.762,Primary Biliary Cholangitis
IL2,STAT6,0.826,Primary Biliary Cholangitis
IL2,IL4R,0.932,Primary Biliary Cholangitis
IL2,CXCL8,0.985,Primary Biliary Cholangitis
IL2,IL7,0.997,Primary Biliary Cholangitis
IL2,IL2RG,0.999,Primary Biliary Cholangitis
IL2,JAK3,0.999,Primary Biliary Cholangitis
IL4,STAT6,0.997,Primary Biliary Cholangitis
IL4,JAK3,0.998,Primary Biliary Cholangitis
IL4,IL7,0.998,Primary Biliary Cholangitis
IL4,IL2RG,0.999,Primary Biliary Cholangitis
IL4,IL4R,0.999,Primary Biliary Cholangitis
IL4,IL13RA1,0.999,Primary Biliary Cholangitis
IL1B,JAK3,0.526,Primary Biliary Cholangitis
IL1B,IL2RG,0.608,Primary Biliary Cholangitis
IL1B,IL13RA1,0.613,Primary Biliary Cholangitis
IL1B,STAT6,0.694,Primary Biliary Cholangitis
IL1B,IL4R,0.746,Primary Biliary Cholangitis
IL1B,IL7,0.909,Primary Biliary Cholangitis
IL1B,CXCL8,0.994,Primary Biliary Cholangitis
IL7,STAT6,0.495,Primary Biliary Cholangitis
IL7,IL13RA1,0.831,Primary Biliary Cholangitis
IL7,CXCL8,0.856,Primary Biliary Cholangitis
IL7,IL4R,0.943,Primary Biliary Cholangitis
IL7,JAK1,0.965,Primary Biliary Cholangitis
IL7,JAK3,0.997,Primary Biliary Cholangitis
IL7,IL2RG,0.999,Primary Biliary Cholangitis
STAT6,CXCL8,0.495,Primary Biliary Cholangitis
STAT6,IL13RA1,0.953,Primary Biliary Cholangitis
STAT6,IL2RG,0.969,Primary Biliary Cholangitis
STAT6,JAK3,0.99,Primary Biliary Cholangitis
STAT6,JAK1,0.996,Primary Biliary Cholangitis
STAT6,IL4R,0.999,Primary Biliary Cholangitis
CXCL8,IL13RA1,0.547,Primary Biliary Cholangitis
CXCL8,IL4R,0.659,Primary Biliary Cholangitis
CXCL8,JAK1,0.687,Primary Biliary Cholangitis
IL13RA1,IL2RG,0.765,Primary Biliary Cholangitis
IL13RA1,JAK3,0.897,Primary Biliary Cholangitis
IL13RA1,JAK1,0.973,Primary Biliary Cholangitis
IL13RA1,IL4R,0.999,Primary Biliary Cholangitis
IL2RG,IL4R,0.999,Primary Biliary Cholangitis
IL2RG,JAK3,0.999,Primary Biliary Cholangitis
IL2RG,JAK1,0.999,Primary Biliary Cholangitis
IL4R,JAK3,0.988,Primary Biliary Cholangitis
IL4R,JAK1,0.999,Primary Biliary Cholangitis
JAK3,JAK1,0.999,Primary Biliary Cholangitis
FCN3,PRSS2,0.573,Primary Sclerosing Cholangitis
FCN3,PTX3,0.584,Primary Sclerosing Cholangitis
FCN3,SERPING1,0.609,Primary Sclerosing Cholangitis
FCN3,CALR,0.674,Primary Sclerosing Cholangitis
FCN3,C4B,0.747,Primary Sclerosing Cholangitis
FCN3,C4A,0.767,Primary Sclerosing Cholangitis
FCN3,FCN2,0.97,Primary Sclerosing Cholangitis
FCN3,MBL2,0.988,Primary Sclerosing Cholangitis
FCN3,MASP2,0.993,Primary Sclerosing Cholangitis
FCN3,MASP1,0.999,Primary Sclerosing Cholangitis
SERPING1,FCN2,0.671,Primary Sclerosing Cholangitis
SERPING1,C4B,0.756,Primary Sclerosing Cholangitis
SERPING1,C4A,0.879,Primary Sclerosing Cholangitis
SERPING1,MBL2,0.979,Primary Sclerosing Cholangitis
SERPING1,MASP1,0.99,Primary Sclerosing Cholangitis
SERPING1,MASP2,0.999,Primary Sclerosing Cholangitis
FCN2,PRSS2,0.626,Primary Sclerosing Cholangitis
FCN2,C4B,0.772,Primary Sclerosing Cholangitis
FCN2,C4A,0.791,Primary Sclerosing Cholangitis
FCN2,CALR,0.912,Primary Sclerosing Cholangitis
FCN2,PTX3,0.954,Primary Sclerosing Cholangitis
FCN2,MBL2,0.998,Primary Sclerosing Cholangitis
FCN2,MASP1,0.999,Primary Sclerosing Cholangitis
FCN2,MASP2,0.999,Primary Sclerosing Cholangitis
PTX3,C4B,0.584,Primary Sclerosing Cholangitis
PTX3,C4A,0.608,Primary Sclerosing Cholangitis
PTX3,MBL2,0.972,Primary Sclerosing Cholangitis
MASP1,C4B,0.935,Primary Sclerosing Cholangitis
MASP1,C4A,0.942,Primary Sclerosing Cholangitis
MASP1,MASP2,0.986,Primary Sclerosing Cholangitis
MASP1,MBL2,0.998,Primary Sclerosing Cholangitis
CALR,MBL2,0.986,Primary Sclerosing Cholangitis
MBL2,C4B,0.97,Primary Sclerosing Cholangitis
MBL2,C4A,0.981,Primary Sclerosing Cholangitis
MBL2,PRSS2,0.991,Primary Sclerosing Cholangitis
MBL2,MASP2,0.999,Primary Sclerosing Cholangitis
MASP2,C4B,0.994,Primary Sclerosing Cholangitis
MASP2,C4A,0.997,Primary Sclerosing Cholangitis
C4A,C4B,0.999,Primary Sclerosing Cholangitis
BIRC7,APAF1,0.501,IgG4-Related Sclerosing Cholangitis
BIRC7,CASP8,0.583,IgG4-Related Sclerosing Cholangitis
BIRC7,CYCS,0.618,IgG4-Related Sclerosing Cholangitis
BIRC7,XIAP,0.817,IgG4-Related Sclerosing Cholangitis
BIRC7,BIRC2,0.85,IgG4-Related Sclerosing Cholangitis
BIRC7,CASP3,0.992,IgG4-Related Sclerosing Cholangitis
BIRC7,CASP9,0.998,IgG4-Related Sclerosing Cholangitis
BIRC3,PARP1,0.524,IgG4-Related Sclerosing Cholangitis
BIRC3,APAF1,0.568,IgG4-Related Sclerosing Cholangitis
BIRC3,CYCS,0.616,IgG4-Related Sclerosing Cholangitis
BIRC3,CASP8,0.922,IgG4-Related Sclerosing Cholangitis
BIRC3,XIAP,0.994,IgG4-Related Sclerosing Cholangitis
BIRC3,CASP9,0.996,IgG4-Related Sclerosing Cholangitis
BIRC3,BIRC2,0.996,IgG4-Related Sclerosing Cholangitis
BIRC3,CASP3,0.997,IgG4-Related Sclerosing Cholangitis
CYCS,BIRC2,0.631,IgG4-Related Sclerosing Cholangitis
CYCS,CDKN1A,0.799,IgG4-Related Sclerosing Cholangitis
CYCS,PARP1,0.892,IgG4-Related Sclerosing Cholangitis
CYCS,XIAP,0.935,IgG4-Related Sclerosing Cholangitis
CYCS,CASP8,0.952,IgG4-Related Sclerosing Cholangitis
CYCS,CASP3,0.997,IgG4-Related Sclerosing Cholangitis
CYCS,APAF1,0.999,IgG4-Related Sclerosing Cholangitis
CYCS,CASP9,0.999,IgG4-Related Sclerosing Cholangitis
CASP3,CDKN1A,0.996,IgG4-Related Sclerosing Cholangitis
CASP3,BIRC2,0.997,IgG4-Related Sclerosing Cholangitis
CASP3,CASP8,0.999,IgG4-Related Sclerosing Cholangitis
CASP3,XIAP,0.999,IgG4-Related Sclerosing Cholangitis
CASP3,PARP1,0.999,IgG4-Related Sclerosing Cholangitis
CASP3,CASP9,0.999,IgG4-Related Sclerosing Cholangitis
CASP3,APAF1,0.999,IgG4-Related Sclerosing Cholangitis
CASP9,CDKN1A,0.713,IgG4-Related Sclerosing Cholangitis
CASP9,CASP8,0.944,IgG4-Related Sclerosing Cholangitis
CASP9,PARP1,0.991,IgG4-Related Sclerosing Cholangitis
CASP9,XIAP,0.999,IgG4-Related Sclerosing Cholangitis
CASP9,BIRC2,0.999,IgG4-Related Sclerosing Cholangitis
CASP9,APAF1,0.999,IgG4-Related Sclerosing Cholangitis
CASP8,CDKN1A,0.621,IgG4-Related Sclerosing Cholangitis
CASP8,PARP1,0.873,IgG4-Related Sclerosing Cholangitis
CASP8,XIAP,0.97,IgG4-Related Sclerosing Cholangitis
CASP8,APAF1,0.97,IgG4-Related Sclerosing Cholangitis
CASP8,BIRC2,0.971,IgG4-Related Sclerosing Cholangitis
PARP1,BIRC2,0.586,IgG4-Related Sclerosing Cholangitis
PARP1,XIAP,0.718,IgG4-Related Sclerosing Cholangitis
PARP1,APAF1,0.745,IgG4-Related Sclerosing Cholangitis
PARP1,CDKN1A,0.856,IgG4-Related Sclerosing Cholangitis
XIAP,CDKN1A,0.478,IgG4-Related Sclerosing Cholangitis
XIAP,APAF1,0.977,IgG4-Related Sclerosing Cholangitis
XIAP,BIRC2,0.996,IgG4-Related Sclerosing Cholangitis
CDKN1A,APAF1,0.476,IgG4-Related Sclerosing Cholangitis
APAF1,BIRC2,0.66,IgG4-Related Sclerosing Cholangitis
BIRC7,CASP7,0.993,Hemochromatosis
BIRC3,ACTB,0.462,Hemochromatosis
BIRC3,CASP10,0.596,Hemochromatosis
BIRC3,CASP7,0.989,Hemochromatosis
CASP10,BIRC2,0.659,Hemochromatosis
CASP10,CASP9,0.719,Hemochromatosis
CASP10,PARP1,0.809,Hemochromatosis
CASP10,XIAP,0.886,Hemochromatosis
CASP10,CASP7,0.968,Hemochromatosis
CASP10,CASP8,0.999,Hemochromatosis
HSPA5,XIAP,0.426,Hemochromatosis
HSPA5,PARP1,0.582,Hemochromatosis
HSPA5,CASP8,0.673,Hemochromatosis
HSPA5,CASP9,0.687,Hemochromatosis
HSPA5,ACTB,0.808,Hemochromatosis
HSPA5,CASP7,0.966,Hemochromatosis
CASP9,ACTB,0.819,Hemochromatosis
CASP9,CASP7,0.952,Hemochromatosis
CASP8,ACTB,0.779,Hemochromatosis
CASP8,CASP7,0.992,Hemochromatosis
PARP1,ACTB,0.794,Hemochromatosis
PARP1,CASP7,0.995,Hemochromatosis
CASP7,ACTB,0.967,Hemochromatosis
CASP7,BIRC2,0.997,Hemochromatosis
CASP7,XIAP,0.999,Hemochromatosis
XIAP,ACTB,0.632,Hemochromatosis
BIRC2,ACTB,0.52,Hemochromatosis
IGFBP2,IGFBP4,0.503,Alpha-1 Antitrypsin Deficiency
IGFBP2,IGFBP6,0.528,Alpha-1 Antitrypsin Deficiency
IGFBP2,IGFBP1,0.657,Alpha-1 Antitrypsin Deficiency
IGFBP2,IGFALS,0.806,Alpha-1 Antitrypsin Deficiency
IGFBP2,IGF1R,0.81,Alpha-1 Antitrypsin Deficiency
IGFBP2,IGFBP3,0.836,Alpha-1 Antitrypsin Deficiency
IGFBP2,INS,0.982,Alpha-1 Antitrypsin Deficiency
IGFBP2,IGF1,0.999,Alpha-1 Antitrypsin Deficiency
IGFBP5,IGFBP1,0.505,Alpha-1 Antitrypsin Deficiency
IGFBP5,INSR,0.588,Alpha-1 Antitrypsin Deficiency
IGFBP5,INS,0.699,Alpha-1 Antitrypsin Deficiency
IGFBP5,IGFBP6,0.725,Alpha-1 Antitrypsin Deficiency
IGFBP5,IGF1R,0.802,Alpha-1 Antitrypsin Deficiency
IGFBP5,IGFBP3,0.978,Alpha-1 Antitrypsin Deficiency
IGFBP5,IGFALS,0.995,Alpha-1 Antitrypsin Deficiency
IGFBP5,IGF1,0.999,Alpha-1 Antitrypsin Deficiency
IGFBP4,IGFBP6,0.416,Alpha-1 Antitrypsin Deficiency
IGFBP4,IGFBP3,0.497,Alpha-1 Antitrypsin Deficiency
IGFBP4,IGF1R,0.604,Alpha-1 Antitrypsin Deficiency
IGFBP4,INS,0.664,Alpha-1 Antitrypsin Deficiency
IGFBP4,IGFALS,0.676,Alpha-1 Antitrypsin Deficiency
IGFBP4,IGFBP1,0.972,Alpha-1 Antitrypsin Deficiency
IGFBP4,IGF1,0.999,Alpha-1 Antitrypsin Deficiency
IGFBP1,INSR,0.453,Alpha-1 Antitrypsin Deficiency
IGFBP1,IGFALS,0.698,Alpha-1 Antitrypsin Deficiency
IGFBP1,IGFBP3,0.736,Alpha-1 Antitrypsin Deficiency
IGFBP1,IGF1R,0.886,Alpha-1 Antitrypsin Deficiency
IGFBP1,IGFBP6,0.956,Alpha-1 Antitrypsin Deficiency
IGFBP1,INS,0.994,Alpha-1 Antitrypsin Deficiency
IGFBP1,IGF1,0.999,Alpha-1 Antitrypsin Deficiency
IGFBP6,IGF1R,0.741,Alpha-1 Antitrypsin Deficiency
IGFBP6,INS,0.756,Alpha-1 Antitrypsin Deficiency
IGFBP6,IGFBP3,0.777,Alpha-1 Antitrypsin Deficiency
IGFBP6,IGFALS,0.897,Alpha-1 Antitrypsin Deficiency
IGFBP6,IGF1,0.999,Alpha-1 Antitrypsin Deficiency
INSR,IGFBP3,0.45,Alpha-1 Antitrypsin Deficiency
INSR,IGFALS,0.498,Alpha-1 Antitrypsin Deficiency
INSR,IGF1R,0.997,Alpha-1 Antitrypsin Deficiency
INSR,INS,0.999,Alpha-1 Antitrypsin Deficiency
INSR,IGF1,0.999,Alpha-1 Antitrypsin Deficiency
IGFBP3,IGF1R,0.96,Alpha-1 Antitrypsin Deficiency
IGFBP3,INS,0.995,Alpha-1 Antitrypsin Deficiency
IGFBP3,IGFALS,0.999,Alpha-1 Antitrypsin Deficiency
IGFBP3,IGF1,0.999,Alpha-1 Antitrypsin Deficiency
IGF1,IGF1R,0.999,Alpha-1 Antitrypsin Deficiency
IGF1,INS,0.999,Alpha-1 Antitrypsin Deficiency
IGF1,IGFALS,0.999,Alpha-1 Antitrypsin Deficiency
INS,IGFALS,0.42,Alpha-1 Antitrypsin Deficiency
INS,IGF1R,0.999,Alpha-1 Antitrypsin Deficiency
IGFALS,IGF1R,0.485,Alpha-1 Antitrypsin Deficiency
